Date,Stress Score,Sleep Score,bed time,wake up,REM,,Light,,Deep,,segmentation,resting_heart_rate
2023/10/26,82,73,04:12,07:53,0,45,1,47,0,40,1,59
2023/10/27,83,67,03:02,07:12,0,45,2,15,0,30,2,57
2023/10/28,80,76,04:06,10:51,0,59,3,39,1,7,1,57
2023/10/29,85,90,02:53,11:52,2,0,4,34,1,36,1,57
2023/10/30,83,78,02:48,07:54,0,46,2,33,1,16,3,56
2023/10/31,76,66,03:23,07:55,0,36,2,28,0,49,2,56
2023/11/1,78,82,00:48,07:18,1,14,3,44,0,48,3,56
2023/11/2,72,61,04:17,07:53,0,35,1,36,0,51,2,55
2023/11/3,,86,19:34,07:41,1,54,6,53,1,54,2,57
2023/11/4,71,80,06:01,16:13,1,41,5,48,1,19,1,57
2023/11/5,79,68,13:26,18:35,0,46,3,12,0,33,2,58
2023/11/6,,,,,,,,,,,,58
2023/11/7,83,65,20:11,23:21,0,16,1,52,0,39,3,59
2023/11/8,75,,,,,,,,,,,
2023/11/9,80,,,,,,,,,,,
2023/11/10,69,67,19:46,00:20,0,34,2,45,0,34,2,58
2023/11/11,77,79,05:17,12:17,1,22,3,21,1,14,2,57
2023/11/12,,82,06:20,15:50,1,27,4,52,1,42,1,56
2023/11/13,75,63,04:34,08:03,0,49,1,45,0,28,2,56
2023/11/14,,74,18:41,02:16,0,34,4,51,1,7,2,57
2023/11/15,67,74,20:36,02:19,0,44,3,18,0,57,3,59
2023/11/16,,,,,,,,,,,,
2023/11/17,77,87,21:39,06:07,1,0,5,23,1,0,2,59
2023/11/18,,78,09:34,17:00,0,47,4,27,1,9,1,56
2023/11/19,69,,,,,,,,,,,
2023/11/20,62,75,22:43,06:18,0,43,4,28,1,20,3,56
2023/11/21,,,,,,,,,,,,
2023/11/22,,87,17:59,01:20,1,31,4,7,0,52,2,59
2023/11/23,,,,,,,,,,,,
2023/11/24,,68,01:18,05:21,0,43,2,24,0,37,1,58
2023/11/25,65,69,00:41,07:34,1,7,3,59,0,54,1,59
2023/11/26,71,64,23:25,04:58,0,43,3,49,0,18,1,61
2023/11/27,63,,,,,,,,,,,
2023/11/28,,86,19:17,05:27,1,49,5,34,1,24,1,66
2023/11/29,78,88,23:17,07:35,1,40,5,10,0,38,1,63
2023/11/30,71,84,22:24,07:23,1,15,4,56,1,25,1,61
2023/12/1,81,86,01:02,08:14,1,20,3,55,1,20,1,59
2023/12/2,81,91,21:32,08:30,2,11,4,47,2,25,1,57
2023/12/3,76,85,00:22,11:38,1,58,6,2,1,42,1,56
2023/12/4,,71,01:34,08:02,1,37,3,27,0,36,2,55
2023/12/5,70,85,23:07,07:45,1,34,4,52,0,56,1,58
2023/12/6,72,78,01:29,07:56,1,28,2,57,1,9,2,57
2023/12/7,73,83,00:45,07:52,1,18,3,58,1,4,1,56
2023/12/8,,81,19:46,04:46,1,8,4,44,1,52,2,56
2023/12/9,67,80,01:56,11:09,1,20,5,7,1,27,1,57
2023/12/10,73,89,02:41,10:56,1,39,4,28,1,20,1,57
2023/12/11,70,74,01:05,07:40,1,36,2,59,1,7,2,57
2023/12/12,69,73,01:26,07:46,0,53,3,30,1,11,2,59
2023/12/13,73,75,02:04,07:39,1,2,2,51,0,59,1,59
2023/12/14,72,85,00:45,07:44,1,27,3,18,1,15,2,59
2023/12/15,71,76,02:24,07:52,0,52,2,59,0,58,2,58
2023/12/16,71,85,02:15,11:39,1,26,5,4,1,38,1,57
2023/12/17,,86,02:02,13:33,2,15,5,14,2,19,1,57
2023/12/18,64,74,02:06,08:11,0,43,3,4,1,9,2,58
2023/12/19,66,85,21:26,05:32,1,18,4,31,1,17,1,59
2023/12/20,62,71,02:22,07:45,0,39,3,14,0,46,2,58
2023/12/21,71,79,01:55,07:20,1,1,2,56,0,51,2,60
2023/12/22,71,73,02:42,07:22,0,57,2,30,0,36,2,59
2023/12/23,68,82,03:10,11:24,1,4,4,15,2,1,2,60
2023/12/24,74,84,03:39,12:43,1,20,5,0,1,29,1,63
2023/12/25,80,75,02:54,07:43,0,54,2,52,0,33,2,63
2023/12/26,71,64,04:28,07:58,0,14,2,17,0,25,2,63
2023/12/27,75,67,04:01,07:43,0,28,1,38,1,5,1,65
2023/12/28,70,71,00:58,07:28,1,0,3,42,0,44,2,64
2023/12/29,73,71,02:38,07:58,0,48,2,49,0,54,2,64
2023/12/30,,89,04:39,17:31,2,53,6,24,1,56,1,64
2023/12/31,,78,06:27,14:17,0,29,4,53,1,23,1,64
